Code,Lib_court,Libelle,Section,Special,TypeChapitre,Nomenclature,Origine,DEquip,DOES,DOIS,DR,REquip,ROES,ROIS,RR,RegrTotalise,Supprime,SupprimeDepuis
002,Résultat de fonctionnement reporté,Résultat de fonctionnement reporté,F,0,L,M57-M57,Nature,,,,,,,,,,,
011,Charges à caractère général,Charges à caractère général,F,0,G,M57-M57,Nature,,,,,,,,,,,
012,Charges de personnel et frais assimilés,Charges de personnel et frais assimilés,F,0,G,M57-M57,Nature,,,,,,,,,,,
013,Atténuations de charges,Atténuations de charges,F,0,G,M57-M57,Nature,,,,,,,,,,,
014,Atténuations de produits,Atténuations de produits,F,0,G,M57-M57,Nature,,,,,,,,,,,
016,APA,APA,F,1,G,M57-M57,Nature,,,,,,,,,,,
017,RSA / Régularisations de RMI,RSA / Régularisations de RMI,F,1,G,M57-M57,Nature,,,,,,,,,,,
022,Dépenses imprévues,Dépenses imprévues,F,0,L,M57-M57,Nature,,,,,,,,,,,
023,Virement à la section d'investissement,Virement à la section d'investissement,F,0,L,M57-M57,Nature,,,,,,,,,,,
042,Opérations ordre transf. entre sections,Opérations d'ordre de transfert entre sections,F,0,G,M57-M57,Nature,,,,,,,,,,,
043,Opérations ordre intérieur de la section,Opérations d'ordre à l'intérieur de la section de fonctionnement,F,0,G,M57-M57,Nature,,,,,,,,,,,
65,Autres charges de gestion courante,Autres charges de gestion courante,F,0,C,M57-M57,Nature,,,,,,,,,,,
6586,Frais fonctionnement des groupes d'élus,Frais de fonctionnement des groupes d'élus,F,0,C,M57-M57,Nature,,,,,,,,,,,
66,Charges financières,Charges financières,F,0,C,M57-M57,Nature,,,,,,,,,,,
67,Charges spécifiques,Charges spécifiques,F,0,C,M57-M57,Nature,,,,,,,,,,,
68,"Dotations aux provisions, dépréciations",Dotations aux provisions et dépréciations,F,0,C,M57-M57,Nature,,,,,,,,,,,
70,"Prod. services, domaine, ventes diverses","Produits des services, du domaine et ventes diverses",F,0,C,M57-M57,Nature,,,,,,,,,,,
73,Impôts et taxes,Impôts et taxes,F,0,C,M57-M57,Nature,,,,,,,,,,,
731,Fiscalité locale,Fiscalité locale,F,0,C,M57-M57,Nature,,,,,,,,,,,
74,Dotations et participations,Dotations et participations,F,0,C,M57-M57,Nature,,,,,,,,,,,
75,Autres produits de gestion courante,Autres produits de gestion courante,F,0,C,M57-M57,Nature,,,,,,,,,,,
76,Produits financiers,Produits financiers,F,0,C,M57-M57,Nature,,,,,,,,,,,
77,Produits spécifiques,Produits spécifiques,F,0,C,M57-M57,Nature,,,,,,,,,,,
78,"Reprises amort., dépréciations, prov.","Reprises sur amortissements, dépréciations et provisions",F,0,C,M57-M57,Nature,,,,,,,,,,,
001,Solde exécution invest. reporté,Solde d'exécution de la section d'investissement reporté,I,0,L,M57-M57,Nature,,,,,,,,,,,
018,RSA,RSA,I,1,G,M57-M57,Nature,,,,,,,,,,,
020,Dépenses imprévues,Dépenses imprévues,I,0,L,M57-M57,Nature,,,,,,,,,,,
021,Virement de la section de fonctionnement,Virement de la section de fonctionnement,I,0,L,M57-M57,Nature,,,,,,,,,,,
024,Produits des cessions d'immobilisations,Produits des cessions d'immobilisations,I,0,L,M57-M57,Nature,,,,,,,,,,,
040,Opérations ordre transf. entre sections,Opérations d'ordre de transfert entre sections,I,0,G,M57-M57,Nature,,,,,,,,,,,
041,Opérations patrimoniales,Opérations patrimoniales,I,0,G,M57-M57,Nature,,,,,,,,,,,
10,"Dotations, fonds divers et réserves","Dotations, fonds divers et réserves",I,0,C,M57-M57,Nature,,,,,,,,,,,
13,Subventions d'investissement,Subventions d'investissement,I,0,C,M57-M57,Nature,,,,,,,,,,,
16,Emprunts et dettes assimilées,Emprunts et dettes assimilées,I,0,C,M57-M57,Nature,,,,,,,,,,,
18,"Cpte de liaison : affectation (BA,régie)",Compte de liaison : affectation (budgets annexes - régies non personnalisées),I,0,C,M57-M57,Nature,,,,,,,,,,,
20,Immobilisations incorporelles,Immobilisations incorporelles,I,0,C,M57-M57,Nature,,,,,,,,,,,
204,Subventions d'équipement versées,Subventions d'équipement versées,I,0,C,M57-M57,Nature,,,,,,,,,,,
21,Immobilisations corporelles,Immobilisations corporelles,I,0,C,M57-M57,Nature,,,,,,,,,,,
22,Immobilisations reçues en affectation,Immobilisations reçues en affectation,I,0,C,M57-M57,Nature,,,,,,,,,,,
23,Immobilisations en cours,Immobilisations en cours,I,0,C,M57-M57,Nature,,,,,,,,,,,
26,Participations et créances rattachées,Participations et créances rattachées à des participations,I,0,C,M57-M57,Nature,,,,,,,,,,,
27,Autres immobilisations financières,Autres immobilisations financières,I,0,C,M57-M57,Nature,,,,,,,,,,,
45411,Travaux effectués d'office,Travaux effectués d'office,I,0,C,M57-M57,Nature,,,,,,,,,,,
45412,Travaux effectués d'office,Travaux effectués d'office,I,0,C,M57-M57,Nature,,,,,,,,,,,
45421,Opérations de remembrement,Opérations de remembrement,I,0,C,M57-M57,Nature,,,,,,,,,,,
45422,Opérations de remembrement,Opérations de remembrement,I,0,C,M57-M57,Nature,,,,,,,,,,,
45431,Opérations de défense contre la mer,Opérations de défense contre la mer,I,0,C,M57-M57,Nature,,,,,,,,,,,
45432,Opérations de défense contre la mer,Opérations de défense contre la mer,I,0,C,M57-M57,Nature,,,,,,,,,,,
45441,Opérations d'aménagement foncier,Opérations d'aménagement foncier,I,0,C,M57-M57,Nature,,,,,,,,,,,
45442,Opérations d'aménagement foncier,Opérations d'aménagement foncier,I,0,C,M57-M57,Nature,,,,,,,,,,,
4551,Opérations d'investissement sur EPLE,Opérations d'investissement sur EPLE,I,0,C,M57-M57,Nature,,,,,,,,,,,
4552,Opérations d'investissement sur EPLE,Opérations d'investissement sur EPLE,I,0,C,M57-M57,Nature,,,,,,,,,,,
4581,Opérations sous mandat,Opérations sous mandat,I,0,C,M57-M57,Nature,,,,,,,,,,,
4582,Opérations sous mandat,Opérations sous mandat,I,0,C,M57-M57,Nature,,,,,,,,,,,
001,Solde d'exécution section investissement,Solde d'exécution de la section d'investissement reporté,,,,M57-M57,Nature_Compte,0,,,001,0,,,001,,,
002,Résultat de fonctionnement reporté,Résultat de fonctionnement reporté,,,,M57-M57,Nature_Compte,0,,,002,0,,,002,,,
020,Dépenses imprévues,Dépenses imprévues,,,,M57-M57,Nature_Compte,0,,,020,0,,,,,,
021,Virement de la section de fonctionnement,Virement de la section de fonctionnement,,,,M57-M57,Nature_Compte,0,,,,0,021,,,,,
022,Dépenses imprévues,Dépenses imprévues,,,,M57-M57,Nature_Compte,0,,,022,0,,,,,,
023,Virement à la section d'investissement,Virement à la section d'investissement,,,,M57-M57,Nature_Compte,0,023,,,0,,,,,,
024,Produits des cessions d'immobilisations,Produits des cessions d'immobilisations,,,,M57-M57,Nature_Compte,0,,,,0,,,024,,,
10,"Dotations, fonds divers et réserves","Dotations, fonds divers et réserves",,,,M57-M57,Nature_Compte,,,,,,,,,1,,
102,Dotations et fonds d'investissement,Dotations et fonds d'investissement,,,,M57-M57,Nature_Compte,,,,,,,,,,,
1021,Dotation,Dotation,,,,M57-M57,Nature_Compte,0,040,041,10,0,040,041,10,,,
1022,Fonds d'investissement,Fonds d'investissement,,,,M57-M57,Nature_Compte,,,,,,,,,,,
10221,TLE,TLE,,,,M57-M57,Nature_Compte,,,,,,,,,,,
10222,FCTVA,FCTVA,,,,M57-M57,Nature_Compte,0,,,10,0,,,10,,,
10223,TICPE 2e part,TICPE 2e part,,,,M57-M57,Nature_Compte,0,,,10,0,,,10,,,
10226,Taxe d'aménagement,Taxe d'aménagement,,,,M57-M57,Nature_Compte,0,,,10,0,,,10,,,
10227,Versement pour sous densité,Versement pour sous densité,,,,M57-M57,Nature_Compte,0,,,10,0,,,10,,,
10228,Autres fonds d'investissement,Autres fonds d'investissement,,,,M57-M57,Nature_Compte,0,,,10,0,,,10,,,
